181
11/11/2019 22:58:18,2,DCI World Class,Yes,Yes,"School, Work, Friendships/Relationships, Other",Yes,"I have been changed for the better in areas involving work ethic, goal-setting/achieving, social relations, and overall satisfaction with myself and my life. I have been both uplifted and humbled by this activity in ways I never imagined possible."
11/11/2019 23:10:15,1,DCI World Class,Yes,Yes,"Work, Friendships/Relationships",Yes,Gave me far more confidence than I had before. Gave me a newfound work ethic and motivated me to keep working even in hard circumstances
11/12/2019 6:48:51,2,DCI World Class,Yes,Yes,"School, Friendships/Relationships",Yes,I have become a much more structural person  and more organised.
11/12/2019 6:48:53,4,DCI World Class,Yes,Yes,"School, Work, Friendships/Relationships",Yes,I’ve applied shortcuts I learned in drum corps to everyday life.
11/12/2019 6:49:03,1,DCI World Class,Yes,Yes,"Friendships/Relationships, Work Ethic, Confidence",Yes,It has shown me what it's like to want to work hard to accomplish a goal.
11/12/2019 6:51:42,1,DCI Open Class,Yes,Yes,"School, Work, Work Ethic",Yes,"It feels easier to do better work, and I find myself getting angry at people who make mistakes because of a lack of thinking. "
11/12/2019 6:52:07,1,DCI World Class,Yes,Yes,"School, Friendships/Relationships, Work Ethic, Confidence",Yes,It has helped me with my confidence and time management. It has also changed the way I approach situations with the right mind.
11/12/2019 6:52:15,3,DCI Open Class,Yes,Yes,"School, Work, Friendships/Relationships, Work Ethic, Confidence",Yes,I find myself thinking things aren't very difficult anymore. If I can clean drill for 12 hours a day I can work an 8 hour shift.
11/12/2019 6:53:05,1,DCI Open Class,Yes,Yes,"Work, Friendships/Relationships, Work Ethic",Yes,"I feel I am more detail focused on things, and have learned that I can do more than my mind thinks it can."
11/12/2019 6:53:14,1,DCI World Class,Yes,Yes,"School, Friendships/Relationships, Confidence",Yes,"Whenever I’m feeling discouraged of myself and that I’m not good enough, I always remember what I did this summer and how badass that really is and I have a strong family to support me no matter what I do and where they are. "
11/12/2019 6:53:22,1,DCI World Class,Yes,Yes,"Work Ethic, Confidence",Yes,It’s taught me to stay calm and driven through tough situations - good work will produce great reward in due time
11/12/2019 6:53:30,2,"DCI Open Class, DCI World Class",Yes,Yes,"Friendships/Relationships, Work Ethic, Confidence",Yes,I have become more confident in the way I speak and in my opinions but I’ve also learned to when to keep my mouth shut.
11/12/2019 6:53:33,4,"DCI Open Class, DCI World Class",Yes,Yes,"School, Work, Friendships/Relationships, Work Ethic, Confidence",Yes,Drum Corps gave me a drive to actually do things. Without it I probably would've failed High School just because I didn't want to do anything or be there.
11/12/2019 6:55:07,3,DCI World Class,Yes,Yes,"School, Work, Friendships/Relationships, Work Ethic, Confidence",Yes,"Physically changed my body, changed my opinion of exercise, improved my work ethic "
11/12/2019 6:56:29,2,DCI Open Class,Yes,Yes,"School, Friendships/Relationships, Confidence",Yes,It helped me realize that I love music and love being helpful so it helped me realize that I wanted to be a teacher
11/12/2019 7:04:04,2,"DCI World Class, DCA A Class",Yes,Yes,"Friendships/Relationships, Confidence",Yes,"It has given me the best friend networks I've ever had, and it has also helped me in how I teach music now as well."
11/12/2019 7:04:50,,DCI World Class,Yes,Yes,"School, Work, Friendships/Relationships, Work Ethic, Confidence",Yes,In drum corps it showed me that I loved music but it wasn’t for me but as well that being healthy and fit I should’ve took more serious in HS.
11/12/2019 7:05:03,4,DCI World Class,Yes,Yes,"School, Work, Work Ethic",Yes,"My years in drum corps have molded the way I look at work and challenges. I see work as something I can easily accomplish. I’ve learned to work smarter, not harder and to use the most efficient methods.
Regarding challenges, I don’t see anything as impossible anymore. I’ve been through the hardest days mentally and physically, therefore any normal life challenge seems like it’s begging for me to overcome it.  I know I have the strength to do anything I set my mind to. "
11/12/2019 7:05:25,3,"DCI Open Class, DCA Open Class",Yes,Yes,"School, Work",Yes,I had to make a choice between going to school and doing drum corps. I've also had to bounce between dead end jobs to make ends meet and still fit my schedule.
11/12/2019 7:06:46,1,DCI World Class,Yes,Yes,"School, Work",Yes,
11/12/2019 7:06:52,2,DCI Open Class,Yes,Yes,"School, Friendships/Relationships, Work Ethic, Confidence",Yes,Outside of drum corps I’ve changed a lot I’m a lot more active physically and I’m much better at carrying conversations instead of always being shy.
11/12/2019 7:09:09,1,DCI World Class,Yes,Yes,"School, Confidence",Yes,
11/12/2019 7:13:36,2,DCI World Class,Yes,Yes,"School, Work Ethic",Yes,
11/12/2019 7:14:23,1,DCI World Class,Yes,Yes,"School, Work, Friendships/Relationships, Confidence",Yes,Drum corps has allowed me to become more confident in myself and not afraid of failure. It has also taught me to see the good in things even if I might not see it right away.
11/12/2019 7:15:29,2,DCI World Class,Yes,Yes,"School, Friendships/Relationships",Yes,Made me be humble
11/12/2019 7:17:52,2,DCI World Class,Yes,Yes,"School, Work, Friendships/Relationships, Work Ethic, Confidence",Yes,
11/12/2019 7:19:27,5,DCA Open Class,Yes,Yes,"School, Work, Friendships/Relationships, Work Ethic, Confidence",Yes,I work harder than I did before. I know how it feels to put in 100% and get a positive outcome so now I want that in every aspect of my life. I also gained so much confidence in myself in the last 5 years. I also gained some of my closest friends through this activity.
11/12/2019 7:20:14,2,DCI World Class,Yes,Yes,"School, Friendships/Relationships, Confidence",Yes,"I am more confident with anything I do and I always see problems as how I can solve them, no as how they will affect me."
11/12/2019 7:25:04,1,DCI World Class,Yes,Yes,"School, Friendships/Relationships, Confidence",Yes,
11/12/2019 7:26:44,1,DCI World Class,Yes,Yes,"Friendships/Relationships, Work Ethic, Confidence",Yes,"Drum corps has given me a better understanding of what it means to really work at something, and shown me the difference between who is willing to work and who is not. In the real world it is so easy to see who is settling for mediocrity and who is chasing excellence even if I know nothing about them. "
11/12/2019 7:28:12,1,DCI World Class,Yes,Yes,"School, Work, Friendships/Relationships, Work Ethic, Confidence",Yes,"Competition is great but my wants, needs, and ideas will simply never be important enough so long as I am not independently creating my work, so it is best to just bare down, get the job done, and move on. "
